vertical_name,type,description,icon
Membership,stakeholder,Member onboarding and engagement for YUVA chapters,👥
Thalir,stakeholder,Environmental and green initiatives across institutions,🌱
Rural Initiatives,stakeholder,Outreach and service programs for rural communities,🏡
Accessibility,vertical,Ensuring inclusive access for differently-abled learners,♿
Climate Change,vertical,Climate awareness and sustainability drives,🌍
Entrepreneurship,vertical,Startup culture and business skill development,💡
Health,vertical,Health awareness campaigns and wellness programs,❤️
Innovation,vertical,Technology innovation and creative problem solving,🔬
Learning,vertical,Peer learning and study group coordination,📚
Masoom,vertical,Child rights awareness and community protection,👶
Road Safety,vertical,Traffic safety awareness and campus road rules,🚦
Branding,vertical,JKKN brand ambassadorship and social media,📢
Varnam,vertical,Cultural diversity celebration and arts,🎨
Vizha,vertical,Festival organization and celebration events,🎉
Sports,vertical,Sports coordination (NOTE: Cricket is BANNED by Director),⚽
