item_id,exam,topic,difficulty,proposed_bloom_level,confidence,rule,stem_excerpt,reason
ac9fce03-0ab8-441d-b3a8-55b99d89b2a8,Foundation Science — Class 6,Biology,1,K1,medium,recall,Which part of a flower makes the pollen grains?,"Retrieves a single taught fact, name, unit, part or definition. Nothing has to be worked out (K1 Remembering)."
33912532-3a28-4e1c-93a7-dba0262f60dd,Foundation Science — Class 6,Biology,1,K1,medium,recall,"In most leaves, which part joins the flat green blade to the stem?","Retrieves a single taught fact, name, unit, part or definition. Nothing has to be worked out (K1 Remembering)."
6ea4e147-88ca-4d2f-b23f-88661e7bf3bc,Foundation Science — Class 6,Biology,2,K1,medium,recall,"In a cactus growing in a dry, sandy place, the leaves are reduced to sharp spines. What is the main advantage of this c…","Retrieves a single taught fact, name, unit, part or definition. Nothing has to be worked out (K1 Remembering)."
6ed2657b-9440-4ae9-b150-c4372eee05d6,Foundation Science — Class 6,Biology,2,K1,medium,recall,"After fertilisation is over in a flower, what does the ovary usually grow into?","Retrieves a single taught fact, name, unit, part or definition. Nothing has to be worked out (K1 Remembering)."
f74e5352-8b95-461c-9ff0-fb2ab44158f3,Foundation Science — Class 6,Biology,1,K1,medium,recall,Who first saw tiny box-like rooms in a thin slice of cork and gave them the name cells?,"Retrieves a single taught fact, name, unit, part or definition. Nothing has to be worked out (K1 Remembering)."
db51d142-6365-47eb-8c0b-36b557d9a2ba,Foundation Science — Class 6,Biology,1,K1,medium,recall,Which part of a cell controls all the activities going on inside it?,"Retrieves a single taught fact, name, unit, part or definition. Nothing has to be worked out (K1 Remembering)."
7d56b676-fffc-4146-9829-1dc4d96962c4,Foundation Science — Class 6,Biology,1,K1,medium,recall,"In the human body, where does the digestion of food begin?","Retrieves a single taught fact, name, unit, part or definition. Nothing has to be worked out (K1 Remembering)."
f0d4e4d9-021c-497c-9845-fabfac194bcf,Foundation Science — Class 6,Biology,1,K1,medium,recall,Which organ churns swallowed food into a paste and mixes it with an acid that kills many germs?,"Retrieves a single taught fact, name, unit, part or definition. Nothing has to be worked out (K1 Remembering)."
a002863e-6ce1-4361-9667-f4c2f9ed6d1b,Foundation Science — Class 6,Biology,2,K1,medium,recall,Most of the digested food passes into the blood through the wall of which organ?,"Retrieves a single taught fact, name, unit, part or definition. Nothing has to be worked out (K1 Remembering)."
04b6569a-e836-471e-8ce9-460c0e68db35,Foundation Science — Class 6,Biology,1,K1,medium,recall,"In which disease do the air passages of the lungs become narrow, so that the person wheezes and finds it hard to breath…","Retrieves a single taught fact, name, unit, part or definition. Nothing has to be worked out (K1 Remembering)."
9c475969-14c9-45cd-8784-da19801fbe18,Foundation Science — Class 6,Biology,2,K1,medium,recall,Which large sheet of muscle lies below the lungs and moves downwards when we breathe in?,"Retrieves a single taught fact, name, unit, part or definition. Nothing has to be worked out (K1 Remembering)."
b6f0fabd-5023-4e18-8b1d-f588d78232cf,Foundation Science — Class 6,Biology,2,K1,medium,recall,"Inside the lungs, gases are exchanged with the blood at millions of tiny balloon-like air sacs. What are these sacs cal…","Retrieves a single taught fact, name, unit, part or definition. Nothing has to be worked out (K1 Remembering)."
1aa9dae4-b2c7-4e76-b052-062a2c3a677f,Foundation Science — Class 6,Biology,1,K1,medium,recall,Which part of the blood carries oxygen and gives blood its red colour?,"Retrieves a single taught fact, name, unit, part or definition. Nothing has to be worked out (K1 Remembering)."
79a79ce4-d058-4497-8ac9-71c889268933,Foundation Science — Class 6,Biology,1,K1,medium,recall,Which blood vessels carry blood away from the heart?,"Retrieves a single taught fact, name, unit, part or definition. Nothing has to be worked out (K1 Remembering)."
9824010e-dd4b-4ee3-9045-228fa5329fd6,Foundation Science — Class 6,Biology,3,K1,medium,recall,"Which chamber of the heart has the thickest muscular wall, because it pumps blood out to the whole body?","Retrieves a single taught fact, name, unit, part or definition. Nothing has to be worked out (K1 Remembering)."
a6169c76-9e24-480d-97d4-5960cd17f8d6,Foundation Science — Class 6,Biology,1,K1,medium,recall,Which of these can spread from an ill person to a healthy person?,"Retrieves a single taught fact, name, unit, part or definition. Nothing has to be worked out (K1 Remembering)."
91a74c62-e7ad-4989-8049-3edec377eb4c,Foundation Science — Class 6,Biology,2,K1,medium,recall,Typhoid and cholera are caused by bacteria. How do these bacteria usually reach a healthy person?,"Retrieves a single taught fact, name, unit, part or definition. Nothing has to be worked out (K1 Remembering)."
f8fb4f9e-93fb-408a-9e15-8881814c39f4,Foundation Science — Class 6,Biology,2,K1,medium,recall,Deworming tablets are given to children twice a year. Which parasites are they meant to remove?,"Retrieves a single taught fact, name, unit, part or definition. Nothing has to be worked out (K1 Remembering)."
